Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ZNF224	"BMZF-2, KOX22, ZNF255, ZNF27"	ENSG00000267680	"Zinc finger protein 224"	Q9NZL3	19	44094361-44109886	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"												HPA054045	Approved		Supported	"Nucleoplasm,Nuclear membrane"			NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 64: Neuronal - Transcription"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 4: Non-specific - Transcription"	"Cluster 55: Non-specific - Transcription"	7	"Nuclear membrane"	Nucleoplasm	"HPA054045: AB_2682354"	"unprognostic (3.26e-4)"	"unprognostic (3.40e-2)"	"unprognostic (4.33e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.68e-1)"	"unprognostic (2.25e-1)"	"unprognostic (1.27e-1)"	"unprognostic (1.55e-1)"	"unprognostic (8.14e-4)"	"unprognostic (2.64e-1)"	"unprognostic (1.35e-1)"	"unprognostic (1.67e-3)"	"unprognostic (8.95e-3)"	"unprognostic (3.99e-1)"	"unprognostic (1.48e-3)"	"unprognostic (2.58e-1)"	"unprognostic (7.67e-2)"	"unprognostic (1.52e-1)"	"unprognostic (3.33e-2)"	"unprognostic (1.88e-1)"	"unprognostic (1.91e-1)"	"unprognostic (6.31e-3)"	"unprognostic (2.32e-1)"	"unprognostic (8.90e-2)"	"unprognostic (2.36e-3)"	"unprognostic (4.50e-2)"	"unprognostic (5.12e-3)"	"unprognostic (7.47e-2)"	"unprognostic (2.41e-1)"	"unprognostic (1.00e-1)"	"unprognostic (2.00e-1)"
ZNF225		ENSG00000256294	"Zinc finger protein 225"	Q9UK10	19	44112181-44134822	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 13.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"									HPA073778			Approved	Nucleoplasm			NA	NA			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 16: Non-specific - Transcription"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 4: Non-specific - Transcription"	"Cluster 18: Early spermatids - Unknown function"	1	Nucleoplasm		"HPA073778: AB_2686634"	"unprognostic (4.40e-2)"	"unprognostic (4.87e-2)"	"unprognostic (1.46e-1)"	"unprognostic (4.80e-2)"	"unprognostic (1.81e-1)"	"unprognostic (2.09e-1)"	"unprognostic (1.78e-1)"	"unprognostic (1.94e-1)"	"unprognostic (3.84e-2)"	"unprognostic (3.18e-2)"	"unprognostic (5.01e-5)"	"unprognostic (4.07e-3)"	"unprognostic (1.26e-1)"		"unprognostic (6.43e-3)"	"unprognostic (7.70e-2)"	"unprognostic (4.18e-1)"	"unprognostic (1.32e-1)"	"unprognostic (5.58e-2)"	"unprognostic (3.05e-2)"	"unprognostic (1.66e-1)"	"unprognostic (7.23e-2)"	"unprognostic (4.91e-2)"	"unprognostic (1.03e-1)"	"unprognostic (2.95e-3)"	"unprognostic (7.53e-2)"	"unprognostic (1.22e-2)"	"unprognostic (3.86e-1)"	"unprognostic (2.16e-1)"	"unprognostic (9.18e-2)"	"unprognostic (1.35e-1)"
ZNF226		ENSG00000167380	"Zinc finger protein 226"	Q9NYT6	19	44165073-44178381	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA006145, CAB034353, HPA069192"	Uncertain		Approved	"Nuclear bodies"			No	No			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 55: Non-specific - Transcription"	"Cluster 4: Non-specific - Transcription"	"Cluster 35: Respiratory epithelial cells - Unknown function"	1	"Nuclear bodies"		"CAB034353: AB_2219110, HPA006145: AB_10696203, HPA069192: "	"unprognostic (6.61e-4)"	"unprognostic (1.43e-1)"	"unprognostic (3.29e-2)"	"unprognostic (1.67e-1)"	"unprognostic (5.44e-2)"	"unprognostic (2.77e-2)"	"unprognostic (2.33e-1)"	"unprognostic (3.99e-1)"	"unprognostic (8.02e-2)"	"unprognostic (1.09e-1)"	"unprognostic (3.41e-3)"	"unprognostic (1.90e-2)"	"unprognostic (8.21e-4)"	"unprognostic (1.21e-1)"	"unprognostic (2.32e-2)"	"unprognostic (2.02e-3)"	"unprognostic (1.21e-1)"	"unprognostic (6.96e-2)"	"unprognostic (3.54e-2)"	"unprognostic (2.35e-1)"	"unprognostic (3.07e-1)"	"unprognostic (9.05e-3)"	"unprognostic (2.91e-1)"	"unprognostic (2.29e-1)"	"unprognostic (1.76e-1)"	"unprognostic (2.00e-1)"	"unprognostic (1.41e-3)"	"unprognostic (1.04e-1)"	"unprognostic (1.07e-2)"	"unprognostic (3.44e-1)"	"unprognostic (8.65e-2)"
ZNF227		ENSG00000131115	"Zinc finger protein 227"	Q86WZ6	19	44207547-44237268	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 25.6;Late spermatids: 29.0;Oocytes: 29.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"								"Low region specificity"	"Detected in all"			HPA030573	Uncertain		Approved	"Plasma membrane"			NA	NA			"Cluster 32: Basophils - Transcription"	"Cluster 71: Thymus - Adaptive immune response"	"Cluster 31: Non-specific - Transcription"	"Cluster 4: Non-specific - Transcription"	"Cluster 63: Late spermatids - Spermatogenesis"	5	"Plasma membrane"		"HPA030573: AB_10610702"	"unprognostic (1.95e-2)"	"unprognostic (1.80e-1)"	"unprognostic (3.04e-1)"	"unprognostic (5.90e-2)"	"unprognostic (6.34e-2)"	"unprognostic (1.07e-2)"	"unprognostic (4.01e-2)"	"unprognostic (3.54e-1)"	"unprognostic (1.22e-1)"	"unprognostic (3.04e-1)"	"unprognostic (3.81e-5)"	"unprognostic (7.92e-4)"	"unprognostic (2.35e-1)"	"unprognostic (1.13e-2)"	"unprognostic (2.29e-1)"	"unprognostic (9.25e-3)"	"unprognostic (2.12e-1)"	"unprognostic (1.74e-2)"	"unprognostic (9.29e-2)"	"unprognostic (3.39e-1)"	"unprognostic (1.87e-1)"	"unprognostic (1.99e-1)"	"unprognostic (1.15e-3)"	"unprognostic (1.07e-1)"	"unprognostic (1.67e-2)"	"unprognostic (3.28e-1)"	"unprognostic (5.66e-3)"	"unprognostic (1.55e-1)"	"unprognostic (4.82e-2)"	"unprognostic (1.56e-2)"	"unprognostic (1.70e-1)"
ZNF229		ENSG00000278318	"Zinc finger protein 229"	Q9UJW7	19	44417519-44448578	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Oligodendrocyte precursor cells: 7.1"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Testicular Germ Cell Tumor (TCGA): 4.1"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"NK-cell: 1.5"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in many"			"Spleen - Endothelial cells, Thyroid gland - Thyroid glandular cells"									HPA001494	Uncertain		Uncertain	"Vesicles,Plasma membrane"			NA	NA				"Cluster 39: Retina & Testis - Cilium"	"Cluster 21: Non-specific - Metabolism"	"Cluster 4: Non-specific - Transcription"	"Cluster 66: Photoreceptor cells - Visual perception"	1	Vesicles	"Plasma membrane"	"HPA001494: AB_1080692"	"unprognostic (6.02e-3)"	"unprognostic (4.05e-1)"	"unprognostic (1.40e-1)"				"unprognostic (4.02e-1)"			"unprognostic (3.64e-2)"			"unprognostic (1.60e-2)"							"unprognostic (6.78e-2)"				"unprognostic (6.09e-3)"			"unprognostic (9.30e-3)"		"unprognostic (8.44e-2)"	"unprognostic (1.41e-3)"	
ZNF23	"KOX16, Zfp612, ZNF359, ZNF612"	ENSG00000167377	"Zinc finger protein 23"	P17027	16	71447597-71463095	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in some"		"Astrocytes: 14.2;Excitatory neurons: 9.6;Inhibitory neurons: 10.7;Microglial cells: 6.3;Oligodendrocyte precursor cells: 12.3;Oligodendrocytes: 14.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA023534	Uncertain		Approved	Cytosol			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 28: Neuronal - Transcription"	"Cluster 14: Neurons - Synaptic function"	"Cluster 68: Non-specific - Cell cycle regulation"	"Cluster 49: Non-specific - Transcription"	14	Cytosol		"HPA023534: AB_1859140"	"unprognostic (1.50e-2)"	"unprognostic (5.64e-2)"	"unprognostic (1.36e-1)"	"unprognostic (2.40e-1)"	"unprognostic (2.61e-2)"	"unprognostic (4.27e-2)"	"unprognostic (3.61e-1)"		"unprognostic (2.41e-1)"	"unprognostic (5.36e-2)"	"unprognostic (5.56e-3)"	"unprognostic (2.81e-1)"	"unprognostic (4.76e-2)"	"unprognostic (1.62e-1)"	"unprognostic (1.98e-2)"	"unprognostic (4.99e-2)"	"unprognostic (7.13e-2)"	"unprognostic (8.45e-2)"	"unprognostic (1.92e-1)"	"unprognostic (2.01e-1)"	"unprognostic (3.46e-1)"	"unprognostic (8.54e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.69e-2)"	"unprognostic (8.15e-2)"	"unprognostic (4.92e-3)"	"unprognostic (1.22e-1)"	"unprognostic (1.01e-2)"	"unprognostic (2.33e-1)"	"unprognostic (1.66e-4)"	"unprognostic (1.43e-1)"
ZNF230	FDZF2	ENSG00000159882	"Zinc finger protein 230"	Q9UIE0	19	44002957-44013924	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"												HPA006172			Approved	Mitochondria			No	No			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 16: Non-specific - Transcription"	"Cluster 16: Non-specific - Transcription"	"Cluster 4: Non-specific - Transcription"	"Cluster 74: Neutrophils - Degranulation"	6	Mitochondria		"HPA006172: AB_2667532"	"unprognostic (4.75e-2)"	"unprognostic (4.05e-2)"	"unprognostic (5.80e-3)"	"unprognostic (2.00e-3)"	"unprognostic (2.57e-1)"	"unprognostic (7.80e-2)"	"unprognostic (1.84e-1)"	"unprognostic (1.25e-2)"	"unprognostic (3.88e-2)"		"unprognostic (1.86e-4)"	"unprognostic (3.28e-3)"	"unprognostic (4.00e-2)"			"unprognostic (2.11e-1)"	"unprognostic (7.81e-2)"	"unprognostic (4.65e-2)"	"unprognostic (1.74e-1)"	"unprognostic (2.31e-1)"	"unprognostic (2.58e-1)"	"unprognostic (3.96e-3)"	"unprognostic (1.64e-1)"	"unprognostic (4.06e-2)"	"unprognostic (3.01e-2)"	"unprognostic (7.57e-3)"		"unprognostic (1.82e-1)"	"unprognostic (3.69e-1)"	"unprognostic (7.65e-2)"	"unprognostic (6.11e-4)"
ZNF232	ZSCAN11	ENSG00000167840	"Zinc finger protein 232"	Q9UNY5	17	5105269-5123162	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Spermatocytes: 22.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"								"Low region specificity"	"Detected in all"			"HPA027309, HPA028611"	Uncertain		Supported	Nucleoplasm,Vesicles,Cytosol			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 42: Non-specific - Unknown function"	"Cluster 79: Spermatocytes & Spermatogonia - Spermatogenesis"	30	Nucleoplasm	"Vesicles, Cytosol"	"HPA027309: AB_10603464, HPA028611: AB_2672700"	"unprognostic (1.36e-1)"	"unprognostic (9.15e-2)"	"unprognostic (2.03e-1)"	"unprognostic (5.82e-5)"	"unprognostic (1.53e-1)"	"unprognostic (2.01e-2)"	"unprognostic (6.25e-2)"	"unprognostic (3.41e-2)"	"unprognostic (6.12e-3)"		"unprognostic (3.04e-1)"	"unprognostic (2.62e-1)"	"unprognostic (1.93e-1)"	"unprognostic (1.61e-3)"	"unprognostic (1.50e-1)"	"unprognostic (1.23e-1)"	"unprognostic (2.16e-1)"	"unprognostic (6.15e-3)"	"unprognostic (1.06e-1)"	"unprognostic (2.34e-2)"	"unprognostic (1.01e-1)"	"unprognostic (1.63e-4)"	"unprognostic (1.67e-1)"	"unprognostic (8.92e-2)"	"unprognostic (3.43e-2)"	"unprognostic (4.04e-2)"	"unprognostic (7.60e-2)"	"unprognostic (2.07e-1)"	"unprognostic (2.78e-1)"	"unprognostic (2.39e-1)"	"unprognostic (8.66e-2)"
ZNF233	FLJ38032	ENSG00000159915	"Zinc finger protein 233"	A6NK53	19	44259880-44275317	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in many"		"testis: 14.2"	"Group enriched"	"Detected in some"	4	"Early spermatids: 53.0;Spermatocytes: 29.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Cardiomyocytes, Prostate - Prostate glandular cells, Testis - Early spermatids"									HPA020975	Uncertain		Approved	Nucleoplasm			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 78: Testis - Transcription"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 4: Non-specific - Transcription"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"		Nucleoplasm		"HPA020975: AB_1859145"	"unprognostic (1.39e-2)"	"unprognostic (8.96e-2)"	"unprognostic (4.02e-1)"			"unprognostic (3.17e-1)"	"unprognostic (1.54e-1)"			"unprognostic (4.33e-1)"		"unprognostic (1.82e-3)"					"unprognostic (1.87e-1)"		"unprognostic (3.82e-2)"	"unprognostic (2.64e-1)"				"unprognostic (1.56e-1)"		"unprognostic (1.13e-1)"		"unprognostic (1.68e-1)"	"unprognostic (1.69e-1)"	"unprognostic (9.06e-3)"	"unprognostic (1.91e-1)"
ZNF234	"HZF4, ZNF269"	ENSG00000263002	"Zinc finger protein 234"	Q14588	19	44141554-44160313	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"												HPA001664	Approved		Approved	"Nuclear bodies"			NA	NA			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 4: Non-specific - Transcription"	"Cluster 55: Non-specific - Transcription"		"Nuclear bodies"		"HPA001664: AB_1080694"	"unprognostic (1.95e-3)"	"unprognostic (9.25e-2)"	"unprognostic (2.64e-2)"	"unprognostic (1.29e-1)"	"unprognostic (3.82e-1)"	"unprognostic (1.51e-1)"	"unprognostic (7.51e-2)"	"unprognostic (2.74e-1)"	"unprognostic (7.95e-2)"	"unprognostic (1.10e-1)"	"unprognostic (5.43e-4)"	"unprognostic (2.96e-3)"	"unprognostic (1.69e-2)"	"unprognostic (2.29e-2)"	"unprognostic (3.64e-2)"	"unprognostic (1.97e-1)"	"unprognostic (2.26e-1)"	"unprognostic (1.43e-1)"	"unprognostic (2.69e-1)"	"unprognostic (6.62e-2)"	"unprognostic (1.11e-1)"	"unprognostic (1.06e-2)"	"unprognostic (2.53e-1)"	"unprognostic (8.71e-2)"	"unprognostic (5.07e-4)"	"unprognostic (5.05e-2)"	"unprognostic (1.93e-2)"	"unprognostic (2.07e-1)"	"unprognostic (1.81e-1)"	"unprognostic (2.19e-1)"	"unprognostic (1.14e-1)"
ZNF235	"ANF270, HZF6, ZFP93, ZNF270"	ENSG00000159917	"Zinc finger protein 235"	Q14590	19	44228729-44305046	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Oligodendrocytes: 8.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"								"Low region specificity"	"Detected in all"			HPA045582	Uncertain		Approved	Nucleoplasm			NA	NA			"Cluster 34: B-cells - Unknown function"	"Cluster 71: Thymus - Adaptive immune response"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 4: Non-specific - Transcription"	"Cluster 49: Non-specific - Transcription"	3	Nucleoplasm		"HPA045582: AB_10963792"	"unprognostic (5.46e-3)"	"unprognostic (5.05e-2)"	"unprognostic (3.33e-1)"	"unprognostic (4.02e-4)"	"unprognostic (1.92e-2)"	"unprognostic (1.66e-1)"	"unprognostic (8.42e-2)"	"unprognostic (1.19e-1)"	"unprognostic (2.27e-2)"	"unprognostic (1.27e-1)"	"unprognostic (4.89e-5)"	"unprognostic (1.28e-5)"	"unprognostic (9.62e-2)"		"unprognostic (2.71e-3)"	"unprognostic (6.75e-2)"	"unprognostic (5.79e-3)"	"unprognostic (3.79e-1)"	"unprognostic (8.20e-2)"	"unprognostic (3.63e-1)"	"unprognostic (9.50e-2)"	"unprognostic (1.99e-2)"	"unprognostic (5.80e-2)"	"unprognostic (4.13e-2)"	"unprognostic (6.83e-2)"	"unprognostic (7.78e-2)"	"unprognostic (1.16e-1)"	"unprognostic (9.30e-2)"	"unprognostic (5.88e-2)"	"unprognostic (1.90e-1)"	"unprognostic (9.85e-2)"
ZNF236		ENSG00000130856	"Zinc finger protein 236"	Q9UL36	18	76822557-76972901	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA008600	Uncertain		Approved	"Nucleoplasm,Cell Junctions,Cytosol"			NA	NA				"Cluster 4: Testis - Basic cellular processes"	"Cluster 34: Non-specific - Mixed function"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 55: Non-specific - Transcription"	1	"Nucleoplasm, Cell Junctions"	Cytosol	"HPA008600: AB_1080696"	"unprognostic (4.70e-2)"	"unprognostic (2.27e-1)"	"unprognostic (3.29e-1)"	"unprognostic (5.36e-3)"	"unprognostic (1.78e-1)"	"unprognostic (6.99e-2)"	"unprognostic (2.40e-1)"	"unprognostic (6.61e-4)"	"unprognostic (9.16e-3)"	"unprognostic (1.34e-1)"	"unprognostic (2.17e-3)"	"unprognostic (2.09e-2)"	"unprognostic (1.12e-1)"		"unprognostic (2.11e-1)"	"unprognostic (7.56e-2)"	"unprognostic (5.62e-2)"	"unprognostic (2.24e-1)"	"unprognostic (2.35e-1)"	"unprognostic (1.74e-1)"	"unprognostic (2.00e-1)"	"unprognostic (1.64e-1)"	"unprognostic (1.51e-2)"	"unprognostic (3.66e-1)"	"unprognostic (1.12e-2)"	"unprognostic (1.81e-1)"	"unprognostic (3.16e-2)"	"unprognostic (2.62e-1)"	"unprognostic (1.88e-1)"	"unprognostic (8.88e-3)"	"unprognostic (3.24e-2)"
