Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
RPE		ENSG00000197713	Ribulose-5-phosphate-3-epimerase	Q96AT9	2	210002565-210022260	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Carbohydrate metabolism"	Isomerase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"												"HPA036498, HPA036499"	Approved		Approved	"Nucleoplasm,Plasma membrane,Cytosol"			NA	NA		120000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 11: Liver - Plasma proteins"	"Cluster 34: Non-specific - Mixed function"	"Cluster 26: Non-specific - Mitochondria & RNA binding"	"Cluster 34: Neurons - Neuronal signaling"	1	Cytosol	"Nucleoplasm, Plasma membrane"	"HPA036498: AB_2675157, HPA036499: AB_10670109"	"unprognostic (2.14e-1)"	"unprognostic (1.48e-2)"	"unprognostic (2.96e-1)"	"unprognostic (2.12e-2)"	"unprognostic (1.96e-1)"	"unprognostic (5.13e-2)"	"unprognostic (1.79e-1)"	"unprognostic (2.78e-1)"	"unprognostic (1.22e-1)"	"unprognostic (6.51e-2)"	"unprognostic (5.27e-6)"	"unprognostic (2.23e-1)"	"unprognostic (9.30e-2)"	"unprognostic (1.06e-4)"	"unprognostic (1.42e-4)"	"unprognostic (1.20e-4)"	"unprognostic (7.41e-3)"	"unprognostic (9.71e-2)"	"unprognostic (4.74e-2)"	"unprognostic (9.49e-3)"	"unprognostic (2.18e-1)"	"unprognostic (3.05e-4)"	"unprognostic (2.05e-1)"	"unprognostic (1.53e-2)"	"unprognostic (1.68e-1)"	"unprognostic (3.63e-1)"	"unprognostic (3.96e-2)"	"unprognostic (1.17e-1)"	"unprognostic (9.45e-2)"	"unprognostic (1.53e-1)"	"unprognostic (4.21e-2)"
RPS6KC1	"humS6PKh1, RSKL1"	ENSG00000136643	"Ribosomal protein S6 kinase C1"	Q96S38	1	213051233-213274774	"Enzymes, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 81.7;Excitatory neurons: 264.0;Inhibitory neurons: 144.7;Microglial cells: 96.6;Oligodendrocyte precursor cells: 109.4;Oligodendrocytes: 128.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"basophil: 16.8"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA026531, HPA031565"	Approved		Supported	Endosomes,Lysosomes			NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 74: Spermatids - Flagellum assembly"	"Cluster 53: Neurons - Mixed function"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 34: Neurons - Neuronal signaling"	3	"Endosomes, Lysosomes"		"HPA026531: AB_10601497, HPA031565: AB_2673935"	"unprognostic (2.17e-2)"	"unprognostic (8.76e-3)"	"unprognostic (3.47e-1)"	"unprognostic (7.80e-2)"	"unprognostic (9.25e-3)"	"unprognostic (1.75e-2)"	"unprognostic (1.02e-1)"	"unprognostic (2.74e-3)"	"unprognostic (4.56e-2)"	"unprognostic (7.46e-2)"	"unprognostic (1.73e-4)"	"unprognostic (8.40e-2)"	"unprognostic (3.47e-2)"	"unprognostic (2.50e-2)"	"unprognostic (9.03e-2)"	"unprognostic (5.63e-2)"	"unprognostic (9.72e-2)"	"unprognostic (8.14e-2)"	"unprognostic (5.61e-2)"	"unprognostic (2.17e-2)"	"unprognostic (1.78e-3)"	"unprognostic (4.64e-2)"	"unprognostic (3.96e-2)"	"unprognostic (1.75e-1)"	"unprognostic (1.15e-2)"	"unprognostic (9.74e-2)"	"unprognostic (4.19e-2)"	"unprognostic (1.47e-1)"	"unprognostic (1.04e-1)"	"unprognostic (1.60e-3)"	"unprognostic (1.36e-1)"
RPTOR	"KIAA1303, KOG1, Mip1, raptor"	ENSG00000141564	"Regulatory associated protein of MTOR complex 1"	Q8N122	17	80544819-80966371	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Host-virus interaction"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 43.7;Excitatory neurons: 67.6;Inhibitory neurons: 63.7;Oligodendrocyte precursor cells: 47.6;Oligodendrocytes: 61.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Prostate - Smooth muscle cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB013514, HPA064306"	Approved		Supported	Vesicles,Lysosomes,Cytosol			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 79: Non-specific - Transcription"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	92	"Vesicles, Lysosomes"	Cytosol	"CAB013514: AB_2533523, HPA064306: AB_2685240"	"unprognostic (1.94e-1)"	"unprognostic (1.79e-1)"	"unprognostic (6.42e-2)"	"unprognostic (2.51e-1)"	"unprognostic (4.48e-1)"	"unprognostic (3.33e-2)"	"unprognostic (1.43e-1)"	"unprognostic (5.65e-1)"	"unprognostic (6.20e-2)"	"unprognostic (8.51e-2)"	"unprognostic (1.12e-4)"	"unprognostic (4.26e-2)"	"unprognostic (3.87e-1)"	"unprognostic (1.25e-1)"	"unprognostic (1.05e-4)"	"unprognostic (3.17e-2)"	"unprognostic (1.32e-2)"	"unprognostic (1.57e-3)"	"unprognostic (6.03e-2)"	"unprognostic (4.08e-2)"	"unprognostic (7.79e-3)"	"unprognostic (1.22e-1)"	"unprognostic (6.11e-2)"	"unprognostic (1.08e-1)"	"unprognostic (2.34e-2)"	"unprognostic (2.39e-2)"	"unprognostic (1.38e-1)"	"unprognostic (1.32e-1)"	"unprognostic (2.89e-1)"	"unprognostic (8.21e-4)"	"unprognostic (1.72e-1)"
RRP8	"KIAA0409, NML"	ENSG00000132275	"Ribosomal RNA processing 8"	O43159	11	6595072-6603616	"Predicted intracellular proteins"	"rRNA processing, Transcription, Transcription regulation"	"Chromatin regulator, Methyltransferase, Repressor, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA038487, HPA057562"	Approved		Supported	Nucleoplasm,Nucleoli,Cytosol			NA	NA			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 47: Spleen - Immune response"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	81	"Nucleoplasm, Nucleoli, Cytosol"		"HPA038487: AB_10672518, HPA057562: AB_2683468"	"unprognostic (6.21e-3)"	"unprognostic (1.14e-1)"	"unprognostic (3.10e-1)"	"unprognostic (2.85e-3)"	"unprognostic (8.06e-2)"	"unprognostic (2.39e-1)"	"unprognostic (9.55e-2)"	"unprognostic (7.04e-2)"	"unprognostic (3.83e-2)"	"unprognostic (7.64e-2)"	"unprognostic (4.53e-5)"	"unprognostic (3.41e-2)"	"unprognostic (4.73e-2)"	"unprognostic (1.55e-3)"	"unprognostic (1.05e-1)"	"unprognostic (4.40e-2)"	"unprognostic (1.26e-3)"	"unprognostic (3.08e-1)"	"unprognostic (2.30e-2)"	"unprognostic (1.10e-1)"	"unprognostic (4.39e-1)"	"unprognostic (2.98e-1)"	"unprognostic (1.47e-2)"	"unprognostic (3.72e-2)"	"unprognostic (1.53e-1)"	"unprognostic (2.66e-1)"	"unprognostic (8.50e-2)"	"unprognostic (1.31e-1)"	"unprognostic (2.21e-1)"	"unprognostic (2.71e-1)"	"unprognostic (6.27e-2)"
RTN4R	NOGOR	ENSG00000040608	"Reticulon 4 receptor"	Q9BZR6	22	20241415-20283246	"Disease related genes, Human disease related genes, Predicted membrane proteins"		Receptor	"Disease variant, Schizophrenia"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"brain: 84.1"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 12.8;Excitatory neurons: 13.7;Granulosa cells: 12.8;Muller glia cells: 11.6"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"MAIT T-cell: 10.8"	"Lineage enriched"	"Detected in many"	9	"T-cells: 10.8"	"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Skin - Keratinocyte (other), Spleen - Fibroblast_1"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			CAB012443			Approved	"Plasma membrane,Actin filaments,Focal adhesion sites"			NA	NA		1100000	"Cluster 11: T-cells - Unknown function"	"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 34: Non-specific - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	18	"Plasma membrane, Focal adhesion sites"	"Actin filaments"	"CAB012443: "	"unprognostic (8.91e-2)"	"unprognostic (2.55e-1)"	"unprognostic (2.53e-1)"	"unprognostic (1.72e-3)"	"unprognostic (1.56e-1)"	"unprognostic (1.32e-2)"	"unprognostic (2.48e-1)"		"unprognostic (4.49e-3)"	"unprognostic (3.50e-2)"	"unprognostic (2.59e-3)"	"unprognostic (8.89e-2)"	"unprognostic (8.63e-2)"	"unprognostic (2.71e-1)"	"unprognostic (5.57e-2)"	"unprognostic (1.33e-1)"		"unprognostic (2.44e-1)"		"unprognostic (4.45e-3)"	"unprognostic (1.75e-1)"	"unprognostic (1.70e-2)"	"unprognostic (2.74e-1)"	"unprognostic (6.71e-2)"	"unprognostic (2.65e-1)"	"unprognostic (5.53e-2)"	"unprognostic (2.09e-1)"	"unprognostic (6.35e-3)"	"unprognostic (1.20e-1)"	"unprognostic (1.06e-1)"	"unprognostic (9.74e-2)"
RTN4RL1	"DKFZp547J144, NgR3, NGRH2"	ENSG00000185924	"Reticulon 4 receptor like 1"	Q86UN2	17	1934677-2025334	"Predicted intracellular proteins"		Receptor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 13.1"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 17.3;Cone photoreceptor cells: 27.2;Excitatory neurons: 42.1;Horizontal cells: 18.9;Inhibitory neurons: 17.9"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Breast Invasive Carcinoma (TCGA): 10.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 8.7"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA044428	Uncertain		Approved	"Nucleoplasm,Plasma membrane,Actin filaments,Midbody"	"Intracellular and membrane"	Receptor	Yes	NA		16000		"Cluster 17: Neuronal - Synaptic function"	"Cluster 51: Neurons - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	5	"Actin filaments"	"Nucleoplasm, Plasma membrane, Midbody"	"HPA044428: AB_10963229"	"unprognostic (1.06e-1)"	"unprognostic (1.15e-1)"	"unprognostic (3.02e-1)"	"unprognostic (6.15e-3)"					"unprognostic (5.77e-2)"		"unprognostic (2.76e-2)"	"unprognostic (1.20e-1)"	"unprognostic (1.50e-1)"	"unprognostic (1.82e-3)"	"unprognostic (2.21e-3)"	"unprognostic (1.43e-2)"		"unprognostic (3.69e-2)"		"unprognostic (2.76e-2)"		"unprognostic (9.02e-4)"		"unprognostic (5.30e-2)"			"unprognostic (3.01e-2)"		"unprognostic (5.23e-2)"		"unprognostic (2.11e-2)"
RTN4RL2	"NgR2, NGRH1"	ENSG00000186907	"Reticulon 4 receptor like 2"	Q86UN3	11	57460528-57477534	"Plasma proteins, Predicted intracellular proteins"		Receptor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	8	"brain: 35.2;liver: 39.7;thyroid gland: 29.5"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 20.4;Excitatory neurons: 16.1;Hepatocytes: 11.9;Oligodendrocyte precursor cells: 9.0"	"Cell type enhanced"	"Detected in many"		"deep-layer intratelencephalic: 52.0"	"Low cancer specificity"	"Detected in all"			"Group enriched"	"Detected in all"	10	"amygdala: 72.3;basal ganglia: 61.2;cerebral cortex: 116.1;hippocampal formation: 86.0;white matter: 49.6"	"Immune cell enhanced"	"Detected in single"		"myeloid DC: 1.0"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Heart muscle - Fibroblasts, Pituitary gland - Corticotropes, Skin - Keratinocyte (other), Spleen - Fibroblast_1"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in many"	9	"amygdala: 25.0;cerebral cortex: 45.0;hippocampal formation: 38.9"						"Intracellular and membrane"	Receptor	NA	NA		22000000		"Cluster 69: Liver - Oxidoreductase activity"	"Cluster 51: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 34: Neurons - Neuronal signaling"	1				"unprognostic (1.11e-1)"	"unprognostic (1.32e-3)"	"unprognostic (6.09e-2)"	"unprognostic (1.20e-1)"	"unprognostic (4.58e-2)"	"unprognostic (1.36e-3)"	"unprognostic (2.13e-1)"		"unprognostic (1.19e-1)"	"unprognostic (1.03e-2)"	"unprognostic (4.49e-2)"	"unprognostic (3.95e-2)"	"unprognostic (1.16e-2)"	"unprognostic (2.32e-2)"	"unprognostic (1.28e-1)"	"unprognostic (7.30e-2)"	"unprognostic (7.71e-2)"	"unprognostic (2.58e-1)"	"unprognostic (9.24e-2)"	"unprognostic (1.06e-1)"	"unprognostic (3.29e-1)"	"unprognostic (2.91e-2)"		"unprognostic (2.44e-1)"	"unprognostic (1.18e-1)"	"unprognostic (5.10e-2)"	"unprognostic (5.05e-2)"	"unprognostic (1.34e-2)"	"unprognostic (1.72e-2)"	"unprognostic (7.65e-3)"	"unprognostic (1.45e-1)"
RXFP1	"LGR7, RXFPR1"	ENSG00000171509	"Relaxin family peptide receptor 1"	Q9HBX9	4	158315311-158653372	"G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 13.7;endometrium 1: 6.0"	"Group enriched"	"Detected in some"	6	"Excitatory neurons: 161.9;Glandular and luminal cells: 162.0"	"Group enriched"	"Detected in many"	4	"deep-layer corticothalamic and 6b: 386.5;deep-layer intratelencephalic: 310.1;eccentric medium spiny neuron: 431.9"	"Cancer enriched"	"Detected in some"	4	"Uterine Corpus Endometrial Carcinoma (TCGA): 4.9"	"Group enriched"	"Detected in many"	5	"basal ganglia: 12.0;cerebral cortex: 14.4;hypothalamus: 5.2;white matter: 10.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"liver cancer: 6.6;ovarian cancer: 23.1;Uterine cancer: 13.5"	"Adrenal gland - Fibroblasts, Kidney - Podocytes"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in many"	5	"cerebral cortex: 14.4;hippocampal formation: 9.3"	HPA027067	Approved						NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 53: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 34: Neurons - Neuronal signaling"				"HPA027067: AB_10602127"			"unprognostic (2.02e-1)"								"unprognostic (3.18e-7)"	"unprognostic (9.69e-4)"																			"unprognostic (5.68e-2)"
RYK	"D3S3195, JTK5, JTK5A, RYK1"	ENSG00000163785	"Receptor like tyrosine kinase"	P34925	3	134065303-134250859	"Enzymes, Predicted membrane proteins"	"Wnt signaling pathway"	"Kinase, Receptor, Transferase, Tyrosine-protein kinase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Spleen - Endothelial cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB034117, HPA045503, HPA075430, CAB080389"	Approved		Approved	"Golgi apparatus,Cytosol"			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 7: Non-specific - Ribosome"	"Cluster 63: Non-specific - Protein processing"	"Cluster 34: Neurons - Neuronal signaling"	36	"Golgi apparatus"	Cytosol	"CAB034117: AB_2183048, CAB080389: , HPA045503: AB_2679353, HPA075430: AB_2732293"	"unprognostic (1.14e-1)"	"unprognostic (4.29e-2)"	"unprognostic (1.63e-2)"	"unprognostic (3.85e-2)"	"unprognostic (4.66e-2)"	"unprognostic (1.70e-1)"	"unprognostic (1.51e-1)"	"unprognostic (2.80e-2)"	"unprognostic (2.67e-1)"	"unprognostic (4.82e-2)"	"unprognostic (1.14e-2)"	"unprognostic (7.22e-3)"	"unprognostic (3.29e-2)"	"unprognostic (3.33e-4)"	"unprognostic (1.14e-2)"	"unprognostic (9.86e-2)"	"unprognostic (2.51e-2)"	"unprognostic (1.84e-1)"	"unprognostic (6.63e-2)"	"unprognostic (2.57e-1)"	"unprognostic (1.03e-3)"	"unprognostic (1.46e-3)"	"unprognostic (1.57e-1)"	"unprognostic (1.58e-1)"	"unprognostic (1.21e-2)"	"unprognostic (2.42e-1)"	"unprognostic (6.30e-2)"	"unprognostic (1.56e-1)"	"unprognostic (1.64e-1)"	"unprognostic (1.00e-1)"	"unprognostic (1.97e-1)"
RYR3		ENSG00000198838	"Ryanodine receptor 3"	Q15413	15	33310962-33866121	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Calmodulin-binding, Ion channel, Ligand-gated ion channel, Receptor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 35.1;choroid plexus: 28.7;skeletal muscle: 23.3;tongue: 42.3"	"Cell type enriched"	"Detected in many"	4	"Astrocytes: 748.1"	"Cell type enhanced"	"Detected in all"		"astrocyte: 1827.7"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 4.3"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	19	"basophil: 1.9"	"Lineage enriched"	"Detected in single"	19	"granulocytes: 1.9"	"Cancer enhanced"	"Detected in some"		"testis cancer: 2.6"	"Pituitary gland - Gonadotropes"	"Low region specificity"	"Detected in many"			"Region enhanced"	"Detected in many"		"basal ganglia: 30.4"	HPA062004			Approved	Vesicles			NA	NA				"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 34: Neurons - Neuronal signaling"	2	Vesicles		"HPA062004: AB_2797267"			"unprognostic (3.14e-2)"				"unprognostic (8.83e-3)"	"unprognostic (4.06e-5)"		"unprognostic (4.71e-2)"			"unprognostic (1.07e-1)"											"unprognostic (2.64e-1)"		"unprognostic (1.95e-3)"			"unprognostic (1.34e-1)"		
SANBR	KIAA1841	ENSG00000162929	"SANT and BTB domain regulator of CSR"	Q6NSI8	2	61065871-61138034	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"retina: 10.9"	"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 44.2;Excitatory neurons: 88.1;Inhibitory neurons: 75.3;Oligodendrocytes: 59.4;Rod photoreceptor cells: 41.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Lung - Respiratory ciliated cells, Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA051240	Approved		Approved	Nucleoplasm,Nucleoli			NA	NA			"Cluster 25: Non-specific - Unknown function"	"Cluster 76: Retina - Visual perception"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"		"Nucleoplasm, Nucleoli"		"HPA051240: AB_2681401"	"unprognostic (2.14e-2)"	"unprognostic (2.42e-2)"	"unprognostic (1.55e-1)"	"unprognostic (7.19e-2)"	"unprognostic (7.63e-2)"	"unprognostic (1.29e-2)"	"unprognostic (2.31e-1)"	"unprognostic (2.23e-2)"	"unprognostic (2.09e-3)"		"unprognostic (7.13e-2)"	"unprognostic (8.72e-2)"	"unprognostic (1.27e-1)"		"unprognostic (1.30e-3)"	"unprognostic (5.22e-2)"	"unprognostic (1.22e-1)"	"unprognostic (3.18e-2)"	"unprognostic (1.64e-1)"	"unprognostic (5.59e-2)"	"unprognostic (2.01e-1)"	"unprognostic (1.10e-1)"	"unprognostic (2.30e-2)"	"unprognostic (8.88e-3)"	"unprognostic (3.36e-4)"	"unprognostic (8.23e-2)"	"unprognostic (5.94e-3)"	"unprognostic (4.78e-2)"	"unprognostic (7.58e-2)"	"unprognostic (2.69e-1)"	"unprognostic (5.60e-3)"
